model_loss,accuracy,auc,tpr,tnr,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
Weighted_Logistic_Regression_Focal_Loss_CustomTraining,0.8695652173913043,0.7651515151515151,1.0,0.75,0.8928571428571428,0.875,0.8685714285714285,23.0,0.8975155279503105,0.8695652173913043,0.8680745341614906,23.0
Weighted_Logistic_Regression_Tv_0.1_0.9_CustomTraining,0.4782608695652174,0.7954545454545454,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.2_0.8_CustomTraining,0.4782608695652174,0.803030303030303,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.3_0.7_CustomTraining,0.4782608695652174,0.8181818181818182,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.4_0.6_CustomTraining,0.4782608695652174,0.8181818181818182,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.5_0.5_CustomTraining,0.4782608695652174,0.8409090909090908,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.6_0.4_CustomTraining,0.4782608695652174,0.8712121212121213,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.7_0.3_CustomTraining,0.4782608695652174,0.8939393939393939,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.8_0.2_CustomTraining,0.4782608695652174,0.9090909090909091,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
Weighted_Logistic_Regression_Tv_0.9_0.1_CustomTraining,0.4782608695652174,0.8863636363636364,1.0,0.0,0.2391304347826087,0.5,0.3235294117647059,23.0,0.2287334593572779,0.4782608695652174,0.309462915601023,23.0
