species,concentration_index,endemicity_index
Acilepis pulneyensis,0.020833333333333332,0.0
Acilepis saligna,0.020833333333333332,0.0
Acilepis setigera,0.020833333333333332,0.0
Acilepis silhetensis,0.020833333333333332,0.0
Acilepis squarrosa,0.020833333333333332,0.0
Acmella calva,0.10416666666666667,1.559581156259877
Acmella ciliata,0.14583333333333334,1.9061547465398496
Acmella oleracea,0.22916666666666666,2.2523542313691998
Acmella paniculata,0.22916666666666666,2.24808450616181
Acmella radicans,0.16666666666666666,1.9792045174343245
Acmella repens,0.041666666666666664,0.6931471805599453
Acmella uliginosa,0.375,2.4842299859471453
Aconitum chasmanthum,0.0625,1.0114042647073516
Aconitum duclouxii,0.020833333333333332,0.0
Aconitum ferox,0.08333333333333333,1.3862943611198906
Aconitum fletcherianum,0.020833333333333332,0.0
Aconitum gammiei,0.020833333333333332,0.0
Aconitum haridasanii,0.020833333333333332,0.0
Aconitum heterophylloides,0.020833333333333332,0.0
Aconitum heterophyllum,0.125,1.4675965356138554
Aconitum hookeri,0.020833333333333332,0.0
Aconitum kashmiricum,0.020833333333333332,0.0
Aconitum laeve,0.0625,1.0114042647073516
Aconitum lethale,0.0,0.0
Aconitum nagarum,0.041666666666666664,0.6931471805599453
Aconitum nakaoi,0.020833333333333332,0.0
Aconitum napellus,0.0,0.0
Aconitum novoluridum,0.020833333333333332,0.0
Aconitum palmatum,0.020833333333333332,0.0
Aconitum rotundifolium,0.041666666666666664,0.6615632381579821
Aconitum violaceum,0.10416666666666667,1.485504394349403
Acorus calamus,0.1875,2.0837660374856477
Acrachne racemosa,0.125,1.4141754640569788
Acranthera anamallica,0.041666666666666664,0.6931471805599453
Acranthera grandiflora,0.0625,1.0397207708399179
Acrobolbus ciliatus,0.020833333333333332,0.0
Acrocarpus fraxinifolius,0.125,1.6776405733510535
Acroglochin persicarioides,0.10416666666666667,1.4941751382893083
Acrolejeunea emergens,0.020833333333333332,0.0
Acrolejeunea infuscata,0.10416666666666667,1.3522093992338284
Acrolejeunea recurvata,0.041666666666666664,0.6365141682948128
Acrolejeunea sandvicensis,0.0625,1.0986122886681096
Acronema hookeri,0.020833333333333332,0.0
Acronema ioniostyles,0.020833333333333332,0.0
Acronema rivale,0.020833333333333332,0.0
Acronema tenerum,0.020833333333333332,0.0
Acronychia pedunculata,0.1875,0.8403930364179522
Acrostichum aureum,0.16666666666666666,0.8696034426890314
