Species Name,Endemicity Index
Trema orientalis,0.020833333333333332
Haldina cordifolia,0.020833333333333332
Lagerstroemia microcarpa,0.08333333333333333
Mallotus philippinensis,0.041666666666666664
Radermachera xylocarpa,0.041666666666666664
Tabernaemontana alternifolia,0.020833333333333332
Terminalia cuneata,0.020833333333333332
Terminalia paniculata,0.08333333333333333
Actinodaphne angustifolia,0.041666666666666664
Alseodaphne semecarpifolia,0.041666666666666664
Artocarpus hirsutus,0.041666666666666664
Canthium dicoccum,0.041666666666666664
Caryota urens,0.020833333333333332
Cinnamomum verum,0.020833333333333332
Cleistanthus malabaricus,0.020833333333333332
Dimocarpus longan,0.020833333333333332
Diospyros nigrescens,0.020833333333333332
Diospyros paniculata,0.020833333333333332
Drypetes venusta,0.020833333333333332
Holigarna arnottiana,0.020833333333333332
Holigarna grahamii,0.020833333333333332
Hopea ponga,0.020833333333333332
Humboldtia brunonis,0.020833333333333332
Knema attenuata,0.041666666666666664
Myristica malabarica,0.020833333333333332
Nothopegia beddomei,0.041666666666666664
Nothopegia castaneifolia,0.020833333333333332
Olea dioica,0.041666666666666664
Palaquium ellipticum,0.0625
Poeciloneuron indicum,0.020833333333333332
Polyalthia fragrans,0.020833333333333332
Strombosia ceylanica,0.020833333333333332
Syzygium laetum,0.020833333333333332
Vateria indica,0.041666666666666664
Xantolis tomentosa,0.041666666666666664
Alangium salvifolium,0.020833333333333332
Albizia marginata,0.020833333333333332
Artocarpus heterophyllus,0.041666666666666664
Cassia fistula,0.08333333333333333
Grewia tiliifolia,0.041666666666666664
Haldinia cordifolia,0.020833333333333332
Michelia champaca,0.041666666666666664
Morinda tinctoria,0.020833333333333332
Pterocarpus santalinus,0.0625
Hildegardia populifolia,0.020833333333333332
Polyalthia coffeoides,0.020833333333333332
Pongamia pinnata,0.020833333333333332
Premna latifolia,0.020833333333333332
Stereospurmum personatum,0.020833333333333332
Terminalia bellerica,0.08333333333333333
Bischofia javanica,0.020833333333333332
Diospyros sylvatica,0.020833333333333332
Mallotus tetracoccus,0.020833333333333332
Polyalthia wightii,0.020833333333333332
Sterculia villosa,0.041666666666666664
Syzygium gardneri,0.041666666666666664
Viburnum acuminatum,0.020833333333333332
Calophyllum polyanthum,0.020833333333333332
Cleidion spiciflorum,0.020833333333333332
Diospyros bourdilloni,0.020833333333333332
Diospyros ghatensis,0.020833333333333332
Dipterocarpus bourdilloni,0.020833333333333332
Elaeocarpus serratus,0.020833333333333332
Euodia lunu-ankenda,0.020833333333333332
Fahrenheitia zeylanica,0.020833333333333332
Ficus tsjahela,0.020833333333333332
Garcinia gummi-gutta,0.020833333333333332
Gluta travancorica*,0.020833333333333332
Harpullia arborea,0.020833333333333332
Margaritaria indica,0.020833333333333332
Phoebe paniculata,0.020833333333333332
Schefflera wallichiana,0.020833333333333332
Xanthophyllum flavescens,0.020833333333333332
Calophyllum austroindicum,0.041666666666666664
Canarium strictum,0.020833333333333332
Cinnamomum malabathrum,0.020833333333333332
Cullenia exarillata,0.041666666666666664
Dysoxylum malabaricum,0.020833333333333332
Elaeocarpus munronii,0.020833333333333332
Ficus exasperata,0.020833333333333332
Ficus nervosa,0.041666666666666664
Ficus simplicifolia,0.020833333333333332
Heritiera papilio,0.020833333333333332
Holigarna nigra,0.020833333333333332
Hydnocarpus alpina,0.020833333333333332
Mesua ferrea,0.08333333333333333
Myristica dactyloides,0.020833333333333332
Neolitsea zeylanica,0.020833333333333332
Ormosia travancorica,0.020833333333333332
Syzygium densiflorum,0.020833333333333332
Turpinia malabarica,0.020833333333333332
Albizia lebbek,0.020833333333333332
Chyloroxylon swietenia,0.020833333333333332
Diospyros tomentosa,0.020833333333333332
Lagerstroemia parvifolia,0.020833333333333332
Tectona grandis,0.125
Aristida setacea,0.020833333333333332
Azadirachta indica,0.020833333333333332
Balanites roxburghii,0.020833333333333332
Capparis spp.,0.020833333333333332
Carrisa carandas,0.020833333333333332
Chrysopogon fulvus,0.020833333333333332
Cordia myxa,0.020833333333333332
Cycas beddomei,0.020833333333333332
Dactyloctenium spp.,0.020833333333333332
Eremopogon foveolatus,0.020833333333333332
Heteropogon contortus,0.020833333333333332
Phoenix sylvestris,0.041666666666666664
Prosopis spp.,0.020833333333333332
Psilotum nudum,0.020833333333333332
Carissa spinarum,0.020833333333333332
Dicrostachys cinerea,0.041666666666666664
Diospyros ebernum,0.020833333333333332
Eugenia spp.,0.020833333333333332
Flacourtia indica,0.041666666666666664
Mimusops elengi,0.020833333333333332
Randia dumetorum,0.020833333333333332
Zyzyphus glabarrima,0.020833333333333332
Adina,0.020833333333333332
Anogeissus sp.,0.020833333333333332
Arisaema tortuosum,0.020833333333333332
Artocarpus integrifolia,0.020833333333333332
Boehmeria macrophylla,0.020833333333333332
Buchanania,0.020833333333333332
Calamus rotang,0.020833333333333332
Cleistanthus,0.020833333333333332
Didymocarpus pygmaea,0.020833333333333332
Elatostemma cuneatum,0.020833333333333332
Gnetum ula,0.020833333333333332
Leucas mukerjiana,0.020833333333333332
Phlebophyllum jeyporensis,0.020833333333333332
Rubus ellipticus,0.020833333333333332
Rubus ellpiticus,0.020833333333333332
Schefflera venulosa,0.020833333333333332
Syzygium,0.041666666666666664
Terminalia,0.020833333333333332
Thalictrum foliolosum,0.020833333333333332
Toona,0.020833333333333332
Zanthoxylum rhetsa,0.020833333333333332
Bruguiera spp.,0.041666666666666664
Rhizophora spp.,0.041666666666666664
Suaeda spp.,0.041666666666666664
Acacia leucophloea,0.020833333333333332
Acacia senegal,0.0625
Buchanania lanzan,0.0
Canthium parviflorum,0.0
Capparis decidua,0.020833333333333332
Catunaregam spinosa,0.0
Chrysopogon aciculatus,0.0
Eragrostis tenella,0.0
Euphornia caducifolia,0.0
Gyrocarpus americanus,0.0
Madhuca longifolia var. Latifolia,0.0
Melia azedarach,0.0
Memecylon edule,0.0
Mimosa hamata,0.0
Prosopis juliflora,0.020833333333333332
Artocarpus lakoocha,0.020833333333333332
Bridelia tomentosa,0.020833333333333332
Bridelia verrucosa,0.020833333333333332
Ficus spp.,0.041666666666666664
Firmiana colorata,0.020833333333333332
Glochidion spp.,0.020833333333333332
Litsea nitida,0.020833333333333332
Phoebe lanceolata,0.020833333333333332
Polyalthia spp.,0.041666666666666664
Saraca indica,0.020833333333333332
Aphanamixis spp.,0.020833333333333332
Artocarpus,0.020833333333333332
Atinodaphne spp.,0.020833333333333332
Bambusa arundinaria,0.020833333333333332
Cinnamomum,0.020833333333333332
Dendrocalamus hamilitonii,0.020833333333333332
Machilus spp.,0.020833333333333332
Magnoliacea,0.020833333333333332
Melocanna bambusoides,0.020833333333333332
Phoebe spp.,0.020833333333333332
Stereospermum spp,0.020833333333333332
Stereospermum spp.,0.020833333333333332
Terminalia citrina,0.020833333333333332
Tetrameles spp.,0.020833333333333332
Acer campbellii,0.020833333333333332
Alnus nepalensis,0.020833333333333332
Betula alnoides,0.020833333333333332
Betula utilis,0.020833333333333332
Cinnamomum spp.,0.020833333333333332
Echinocarpus dasycarpus.,0.020833333333333332
Exbucklandia populnea,0.020833333333333332
Juglans regia,0.020833333333333332
Lithocarpus pachyphylla,0.020833333333333332
Machilusâ spp,0.020833333333333332
Magnolia cathcartii,0.020833333333333332
Magnolia doltsopa,0.020833333333333332
Magnolia spp.,0.020833333333333332
Quercus lamellosa,0.020833333333333332
Rhododendron arboreum,0.020833333333333332
Rhododendron falconeri,0.020833333333333332
Rhododendron thomsonii,0.020833333333333332
Nepenthes khasiana,0.020833333333333332
Anisoptera scaphula,0.020833333333333332
Bombax insignis,0.020833333333333332
Castanopsisâ spp.,0.020833333333333332
Dipterocarpus alatus,0.020833333333333332
Dipterocarpus griffithii,0.020833333333333332
Dipterocarpus turbinatus,0.020833333333333332
Eugenia grandis,0.020833333333333332
Hopea odorata,0.020833333333333332
Parashorea stellata,0.020833333333333332
Shorea burmanica,0.020833333333333332
Swintonia floribunda,0.020833333333333332
Altingia excelsa,0.0
Aquilaria malaccensis,0.0
Castanopsis indica,0.0
Cleistanthus collinus,0.020833333333333332
Cynodon dactylon,0.0
Cyperus rotundus,0.0
Dipterocarpus retusus,0.0
Phragmites karka,0.0
Pinus insularis,0.0
Pinus roxburghii,0.0
Quercus leucotrichophora,0.0
Saccharum spontaneum,0.041666666666666664
Shorea assamica,0.0
Vetiveria zizanoides,0.0
Ziziphus nummularia,0.0
Garuga pinnata.,0.020833333333333332
Syzigium cumini,0.020833333333333332
Tripidium bengalense,0.020833333333333332
Capparis zeylanica,0.020833333333333332
Gardenia,0.020833333333333332
Grewia,0.020833333333333332
Gymnosporia,0.020833333333333332
Prosopis cineraria,0.041666666666666664
Salvadora,0.020833333333333332
Commiphora mukul,0.041666666666666664
Dicliptera abuensis,0.041666666666666664
Diospyros spp.,0.041666666666666664
Emblica officinalis,0.041666666666666664
Euphorbia caducifolia,0.041666666666666664
Grewia tenax,0.041666666666666664
Grewia villosa,0.041666666666666664
Maytenus emarginata,0.041666666666666664
Securinega leucopyrus,0.041666666666666664
Strobilanthes halbergii,0.041666666666666664
Veronica anagallis,0.041666666666666664
Ageratum conyzoides,0.0
Bauhinia racemosa,0.020833333333333332
Lantana camara,0.0
Populus deltoides,0.0
Rhododendron barbatum,0.0
Rhododendron grande,0.0
Vernonia cinerea,0.0
Aerva spp.,0.020833333333333332
Aristida adscensionis,0.020833333333333332
Calligonum polygonoides,0.020833333333333332
Calotropis spp.,0.020833333333333332
Cenchrus biflorus,0.020833333333333332
Crotalaria spp.,0.020833333333333332
Cympogon spp.,0.020833333333333332
Cyperus spp.,0.020833333333333332
Eleusine spp.,0.020833333333333332
Eragrostis spp.,0.020833333333333332
Haloxylon recurvum,0.020833333333333332
Haloxylon salicornicum,0.020833333333333332
Lasiurus scindicus,0.020833333333333332
Panicum spp.,0.020833333333333332
Sporobolus spp.,0.020833333333333332
Tamrix aphylla,0.020833333333333332
Zizyphus mauritiana,0.041666666666666664
Saccharum benghalense,0.020833333333333332
Saccharum narenga,0.020833333333333332
Terminalia belerica,0.020833333333333332
Vetiveria zizanioides,0.020833333333333332
Bruguiera spp,0.020833333333333332
Calamus tenuis,0.020833333333333332
Dalbergia sisso,0.020833333333333332
Duabanga sonneratioides,0.020833333333333332
Laportea crenulata,0.020833333333333332
Madhuca latifolia,0.020833333333333332
Ochna pumila,0.020833333333333332
Phoenix acaulis,0.020833333333333332
Pterspermum acerifolium,0.020833333333333332
Sterculia vilosa,0.020833333333333332
Themeda quadrivalvis,0.020833333333333332
Abies densa,0.0
Actinodaphne hookeri,0.0
Aerva persica,0.0
Aristida funiculata,0.0
Bromus japonicus,0.0
Cedrus deodara,0.0
Celtis australis,0.0
Dactyloctenium aegyptium,0.0
Digitaria stewartiana,0.0
Flacourtia montana,0.0
Glochidion assamicum,0.0
Glochidion hirsutum,0.0
Holarrhena pubescens,0.0
Juniperus communis,0.0
Juniperus recurva,0.0
Juniperus wallichiana,0.0
Litsea glabrata,0.0
Lonicera tomentella,0.0
Lumnitzera littorea,0.0
Manilkara littoralis,0.0
Myristica andamanica,0.0
Myristica longifolia,0.0
Pandanus tectorius,0.0
Panicum turgidum,0.0
Phleum alpinum,0.0
Phoenix humilis,0.020833333333333332
Phoenix paludosa,0.0
Picea smithiana,0.0
Pinus wallichiana,0.0
Poa annua,0.0
Pterocymbium tinctorium,0.0
Quercus dilatata,0.0
Quercus serrata,0.0
Rhododendron campanulatum,0.0
Setaria viridis,0.0
Symplocos glomerata,0.0
Syzygium nervosum,0.0
Acacia lenticularis,0.020833333333333332
Cochlospermum religiosum,0.020833333333333332
Euphorbia nivulia,0.020833333333333332
Shorea roobusta,0.020833333333333332
Boswellia serreta,0.020833333333333332
Carissa spp.,0.020833333333333332
Diospyros melanxylon,0.020833333333333332
Gardenia spp.,0.020833333333333332
Grewia spp.,0.020833333333333332
Gymnosporia spp.,0.020833333333333332
Peristrophe sp.,0.020833333333333332
Prosopis spicigera,0.020833333333333332
Rivea sp.,0.020833333333333332
Salvadora sp.,0.020833333333333332
Salvadora spp.,0.020833333333333332
Tamarix sp.,0.020833333333333332
